53.0 1.0 12.89 
53.0 8.0 12.8862 
53.0 15.0 12.8605 
53.0 22.0 12.8649 
53.0 29.0 12.8599 
53.0 36.0 12.8585 
53.0 43.0 12.8599 
53.0 50.0 12.8624 
53.0 57.0 12.8633 
53.0 64.0 12.867 
53.0 71.0 12.8673 
53.0 78.0 12.8764 
53.0 85.0 12.8886 
53.0 92.0 12.9266 
60.0 1.0 13.1639 
60.0 8.0 13.1389 
60.0 15.0 13.1365 
60.0 22.0 13.1363 
60.0 29.0 13.1361 
60.0 36.0 13.1358 
60.0 43.0 13.1339 
60.0 50.0 13.1344 
60.0 57.0 13.1344 
60.0 64.0 13.1383 
60.0 71.0 13.1418 
60.0 78.0 13.1422 
60.0 85.0 13.1542 
60.0 92.0 13.1594 
74.0 1.0 13.3458 
74.0 8.0 13.2784 
74.0 15.0 13.137 
74.0 22.0 13.1127 
74.0 29.0 13.1054 
74.0 36.0 13.0965 
74.0 43.0 13.0885 
74.0 50.0 13.0729 
74.0 57.0 13.0772 
74.0 64.0 13.0732 
74.0 71.0 13.071 
74.0 78.0 13.0724 
74.0 85.0 13.072 
74.0 92.0 13.075 
74.0 99.0 13.1177 
80.0 1.0 13.7246 
80.0 8.0 13.5221 
80.0 15.0 13.5102 
80.0 22.0 13.5085 
80.0 29.0 13.5 
80.0 36.0 13.4921 
80.0 43.0 13.4454 
80.0 50.0 13.3636 
80.0 57.0 13.3256 
80.0 64.0 13.2671 
80.0 71.0 13.1793 
80.0 78.0 13.1319 
80.0 85.0 13.079 
80.0 92.0 13.1 
80.0 99.0 13.1077 
80.0 106.0 13.1089 
80.0 113.0 13.0728 
88.0 1.0 14.0895 
88.0 8.0 13.6345 
88.0 15.0 13.5755 
88.0 22.0 13.556 
88.0 29.0 13.4669 
88.0 36.0 13.4012 
88.0 43.0 13.2988 
88.0 50.0 13.2658 
88.0 57.0 13.2429 
88.0 64.0 13.2336 
88.0 71.0 13.2145 
88.0 78.0 13.1874 
88.0 85.0 13.1844 
88.0 92.0 13.1823 
88.0 1.0 14.4509 
88.0 8.0 14.0556 
88.0 15.0 13.7311 
88.0 22.0 13.6355 
88.0 29.0 13.5936 
88.0 36.0 13.4967 
88.0 43.0 13.4291 
88.0 50.0 13.3704 
88.0 57.0 13.3011 
88.0 64.0 13.2465 
88.0 71.0 13.2193 
88.0 78.0 13.2121 
88.0 85.0 13.1896 
88.0 92.0 13.1892 
88.0 99.0 13.1888 
95.0 1.0 15.0772 
95.0 8.0 14.6027 
95.0 15.0 14.5146 
95.0 22.0 14.3983 
95.0 29.0 14.2023 
95.0 36.0 13.8717 
95.0 43.0 13.5311 
95.0 50.0 13.3879 
95.0 57.0 13.2987 
95.0 64.0 13.2518 
95.0 71.0 13.2361 
95.0 78.0 13.193 
95.0 85.0 13.1715 
95.0 92.0 13.1714 
100.0 1.0 15.3335 
100.0 8.0 15.2911 
100.0 15.0 15.2438 
100.0 22.0 15.2039 
100.0 29.0 15.1024 
100.0 36.0 14.8105 
100.0 43.0 14.4109 
100.0 50.0 13.5768 
